9 4726 18362
0 0 0.420503 0.0966955
1 0 0.292557 0.163829
0 1 0.0878818 0.120414
1 1 -0.0539314 0.185627
0 2 0.523185 0.0542188
1 2 0.393133 0.123539
0 3 0.456968 -0.120726
1 3 0.317836 -0.0469141
0 3 0.457856 -0.120184
0 4 0.40015 -0.260171
1 4 0.252572 -0.179108
0 4 0.400176 -0.259961
0 5 0.398048 0.0798985
1 5 0.270955 0.146738
0 6 -0.112861 -0.247217
1 6 -0.215951 -0.175159
0 7 0.36322 -0.0945157
1 7 0.252786 -0.0255799
0 8 0.436602 -0.111098
1 8 0.302929 -0.0377863
0 9 0.398271 0.079147
1 9 0.271199 0.146265
0 7 0.363085 -0.0946726
0 10 0.462123 -0.0855839
1 10 0.325374 -0.0123283
0 11 0.416719 0.0850984
1 11 0.28846 0.152364
0 12 -0.296762 -0.161912
1 12 -0.400257 -0.0933165
0 13 0.419196 0.0851182
1 13 0.290187 0.152356
0 14 0.492102 -0.0495239
1 14 0.363632 0.0217725
0 15 -0.203037 -0.0825688
1 15 -0.322189 -0.0153511
0 16 0.42432 -0.0815295
1 16 0.290362 -0.00975505
0 17 -0.20041 -0.107053
1 17 -0.319277 -0.0383929
0 18 0.483083 -0.0486216
1 18 0.353787 0.020683
0 17 -0.200516 -0.106962
0 19 0.508061 0.0570386
1 19 0.376116 0.126114
0 20 0.419234 0.084446
1 20 0.290272 0.151719
0 21 0.397696 -0.0307704
1 21 0.270418 0.0379695
0 22 -0.0917353 -0.267378
1 22 -0.198816 -0.193044
0 23 -0.0958636 -0.233745
1 23 -0.204752 -0.161391
0 24 0.488601 -0.0915773
1 24 0.351638 -0.0180021
0 25 0.387518 0.0792283
1 25 0.261141 0.145753
0 26 -0.181051 -0.0764916
1 26 -0.30155 -0.00924553
0 25 0.387284 0.0795522
0 27 -0.28906 -0.117295
1 27 -0.396071 -0.0487774
0 15 -0.20313 -0.083039
0 28 0.436311 -0.134423
1 28 0.303306 -0.0615312
0 29 -0.130562 -0.0806872
1 29 -0.249582 -0.0134624
0 30 0.482073 -0.0479486
1 30 0.351108 0.0224686
0 31 0.489834 -0.266022
1 31 0.329324 -0.182326
0 32 0.100288 0.17037
1 32 -0.0311318 0.232819
0 27 -0.28624 -0.117314
0 31 0.490414 -0.266583
0 33 0.292701 0.0464905
1 33 0.175961 0.112341
0 34 0.506095 -0.0223298
1 34 0.376527 0.0480325
0 35 -0.191 -0.0772491
1 35 -0.311827 -0.00973173
0 36 0.407569 0.100481
1 36 0.280087 0.167538
0 37 -0.0272445 -0.107548
1 37 0.281416 -0.110229
0 38 0.298955 0.0309069
1 38 0.181676 0.0965473
0 39 0.363277 -0.206826
1 39 0.242485 -0.132143
0 36 0.407385 0.100137
0 40 0.329401 -0.0618305
1 40 0.212625 0.00571894
0 41 -0.069364 -0.265229
1 41 -0.178929 -0.191046
0 42 0.0967838 0.171161
1 42 -0.0347167 0.23294
0 41 -0.0694282 -0.265286
0 43 0.506277 0.0674753
1 43 0.375816 0.135964
0 44 0.387689 -0.26379
